=== AUFSTELLUNGSANALYSE - ALLE MANNSCHAFTEN ===
Datum: Tue Dec 02 06:48:42 UTC 2025
Basis: Letzte 10 Spiele pro Mannschaft
Punkte-System: Start-11 = 1 Punkt, Einwechslung = 0.5 Punkte, nur Ersatzbank = 0 Punkte

=== Schalke ===
 1. Marcin Kaminski: 9.0 Punkte (9x Start-11)
 2. Ron Schallenberg: 9.0 Punkte (9x Start-11)
 3. Paul Seguin: 8.0 Punkte (8x Start-11)
 4. Kenan Karaman: 8.0 Punkte (8x Start-11)
 5. Moussa Sylla: 7.0 Punkte (7x Start-11)
 6. Justin Heekeren: 7.0 Punkte (7x Start-11)
 7. Mehmet Aydin: 7.0 Punkte (7x Start-11)
 8. Taylan Bulut: 7.0 Punkte (7x Start-11)
 9. Derry Murkin: 6.0 Punkte (6x Start-11)
10. Janik Bachmann: 5.0 Punkte (5x Start-11)
11. Tobias Mohr: 4.0 Punkte (4x Start-11)
12. Christopher Antwi-Adjei: 4.0 Punkte (4x Start-11)
13. Amin Younes: 4.0 Punkte (4x Start-11)
14. Anton Donkor: 4.0 Punkte (4x Start-11)
15. Max Gruger: 4.0 Punkte (4x Start-11)
16. Adrian Gantenbein: 4.0 Punkte (4x Start-11)
17. Tomas Kalas: 3.0 Punkte (3x Start-11)
18. Loris Karius: 3.0 Punkte (3x Start-11)
19. Pape Meissa Ba: 3.0 Punkte (3x Start-11)
20. Aymen Barkok: 2.0 Punkte (2x Start-11)
21. Felipe Sanchez: 1.0 Punkte (1x Start-11)
22. Emil Hojlund: 1.0 Punkte (1x Start-11)

=== Frankfurt ===
 1. Robin Koch: 10.0 Punkte (10x Start-11)
 2. Arthur Theate: 10.0 Punkte (10x Start-11)
 3. Hugo Ekitike: 10.0 Punkte (10x Start-11)
 4. Hugo Larsson: 9.0 Punkte (9x Start-11)
 5. Tuta: 9.0 Punkte (9x Start-11)
 6. Nathaniel Brown: 9.0 Punkte (9x Start-11)
 7. Ellyes Skhiri: 9.0 Punkte (9x Start-11)
 8. Jean-Matteo Bahoya: 8.0 Punkte (8x Start-11)
 9. Rasmus Kristensen: 8.0 Punkte (8x Start-11)
10. Ansgar Knauff: 5.0 Punkte (5x Start-11)
11. Kaua Santos: 5.0 Punkte (5x Start-11)
12. Kevin Trapp: 5.0 Punkte (5x Start-11)
13. Mario Gotze: 4.0 Punkte (4x Start-11)
14. Nnamdi Collins: 3.0 Punkte (3x Start-11)
15. Fares Chaibi: 3.0 Punkte (3x Start-11)
16. Oscar Hojlund: 1.0 Punkte (1x Start-11)
17. Can Uzun: 1.0 Punkte (1x Start-11)
18. Michy Batshuayi: 1.0 Punkte (1x Start-11)

=== Münster ===
 1. Marc Lorenz: 5.0 Punkte (5x Start-11)
 2. Jorrit Hendrix: 5.0 Punkte (5x Start-11)
 3. Johannes Schenk: 5.0 Punkte (5x Start-11)
 4. Florian Pick: 4.0 Punkte (4x Start-11)
 5. Joshua Mees: 4.0 Punkte (4x Start-11)
 6. Luca Bazzoli: 4.0 Punkte (4x Start-11)
 7. Niko Koulis: 4.0 Punkte (4x Start-11)
 8. Simon Scherder: 3.0 Punkte (3x Start-11)
 9. Dominik Schad: 3.0 Punkte (3x Start-11)
10. Holmbert Aron Friðjonsson: 3.0 Punkte (3x Start-11)
11. Rico Preissinger: 2.0 Punkte (2x Start-11)
12. Charalambos Makridis: 2.0 Punkte (2x Start-11)
13. Sebastian Mrowca: 2.0 Punkte (2x Start-11)
14. Jano ter Horst: 2.0 Punkte (2x Start-11)
15. Mikkel Kirkeskov: 2.0 Punkte (2x Start-11)
16. Daniel Heber: 1.0 Punkte (1x Start-11)
17. Eric Martel: 1.0 Punkte (1x Start-11)
18. Dominik Reimann: 1.0 Punkte (1x Start-11)
19. Alexander Nollenberger: 1.0 Punkte (1x Start-11)
20. Timo Hubers: 1.0 Punkte (1x Start-11)
21. Christian Ortag: 1.0 Punkte (1x Start-11)
22. Thomas Geyer: 1.0 Punkte (1x Start-11)
23. Etienne Amenyido: 1.0 Punkte (1x Start-11)
24. Florian Le Joncour: 1.0 Punkte (1x Start-11)
25. Marvin Schwabe: 1.0 Punkte (1x Start-11)
26. Florian Kainz: 1.0 Punkte (1x Start-11)
27. Livan Burcu: 1.0 Punkte (1x Start-11)
28. David Kinsombi: 1.0 Punkte (1x Start-11)
29. Daniel Kyerewaa: 1.0 Punkte (1x Start-11)
30. Luca Waldschmidt: 1.0 Punkte (1x Start-11)
31. Xavier Amaechi: 1.0 Punkte (1x Start-11)
32. Muhammed Damar: 1.0 Punkte (1x Start-11)
33. Philipp Strompf: 1.0 Punkte (1x Start-11)
34. Damion Downs: 1.0 Punkte (1x Start-11)
35. Max Brandt: 1.0 Punkte (1x Start-11)
36. Lukas Petkov: 1.0 Punkte (1x Start-11)
37. Felix Higl: 1.0 Punkte (1x Start-11)
38. Baris Atik: 1.0 Punkte (1x Start-11)
39. Romario Rosch: 1.0 Punkte (1x Start-11)
40. Jamil Siebert: 1.0 Punkte (1x Start-11)
41. Dejan Ljubicic: 1.0 Punkte (1x Start-11)
42. Bastian Allgeier: 1.0 Punkte (1x Start-11)
43. Robin Fellhauer: 1.0 Punkte (1x Start-11)
44. Dawid Kownacki: 1.0 Punkte (1x Start-11)
45. Maurice Krattenmacher: 1.0 Punkte (1x Start-11)
46. Silas Gnaka: 1.0 Punkte (1x Start-11)
47. Marcus Mathisen: 1.0 Punkte (1x Start-11)
48. Elias Baum: 1.0 Punkte (1x Start-11)
49. Semir Telalovic: 1.0 Punkte (1x Start-11)
50. Dennis Chessa: 1.0 Punkte (1x Start-11)
51. Dennis Dressel: 1.0 Punkte (1x Start-11)
52. Leart Pacarada: 1.0 Punkte (1x Start-11)
53. Valgeir Lunddal: 1.0 Punkte (1x Start-11)
54. Tom Zimmerschied: 1.0 Punkte (1x Start-11)
55. Lubambo Musonda: 1.0 Punkte (1x Start-11)
56. Andre Hoffmann: 1.0 Punkte (1x Start-11)
57. Dominique Heintz: 1.0 Punkte (1x Start-11)
58. Florian Kastenmeier: 1.0 Punkte (1x Start-11)
59. Semih Sahin: 1.0 Punkte (1x Start-11)
60. Jan Thielmann: 1.0 Punkte (1x Start-11)
61. Malik Batmaz: 1.0 Punkte (1x Start-11)
62. Fisnik Asllani: 1.0 Punkte (1x Start-11)
63. Nicolas Kristof: 1.0 Punkte (1x Start-11)
64. Lukas Frenkert: 1.0 Punkte (1x Start-11)
65. Lukas Pinckert: 1.0 Punkte (1x Start-11)
66. Moritz Heyer: 1.0 Punkte (1x Start-11)
67. Shinta Appelkamp: 1.0 Punkte (1x Start-11)
68. Jean Hugonet: 1.0 Punkte (1x Start-11)
69. Danny Schmidt: 1.0 Punkte (1x Start-11)
70. Maurice Neubauer: 1.0 Punkte (1x Start-11)
71. Myron van Brederode: 1.0 Punkte (1x Start-11)
72. Tim Lemperle: 1.0 Punkte (1x Start-11)
73. Martijn Kaars: 1.0 Punkte (1x Start-11)
74. Isak Johannesson: 1.0 Punkte (1x Start-11)
75. Nicolas Gavory: 1.0 Punkte (1x Start-11)

=== Stuttgart ===
 1. Alexander Nubel: 10.0 Punkte (10x Start-11)
 2. Jeff Chabot: 10.0 Punkte (10x Start-11)
 3. Atakan Karazor: 10.0 Punkte (10x Start-11)
 4. Maximilian Mittelstadt: 9.0 Punkte (9x Start-11)
 5. Angelo Stiller: 8.0 Punkte (8x Start-11)
 6. Chris Fuhrich: 8.0 Punkte (8x Start-11)
 7. Finn Jeltsch: 7.0 Punkte (7x Start-11)
 8. Nick Woltemade: 7.0 Punkte (7x Start-11)
 9. Ermedin Demirovic: 6.0 Punkte (6x Start-11)
10. Deniz Undav: 6.0 Punkte (6x Start-11)
11. Jamie Leweling: 6.0 Punkte (6x Start-11)
12. Enzo Millot: 5.0 Punkte (5x Start-11)
13. Leonidas Stergiou: 4.0 Punkte (4x Start-11)
14. Luca Jaquez: 3.0 Punkte (3x Start-11)
15. Pascal Stenzel: 2.0 Punkte (2x Start-11)
16. Ameen Al-Dakhil: 2.0 Punkte (2x Start-11)
17. Ramon Hendriks: 2.0 Punkte (2x Start-11)
18. Josha Vagnoman: 2.0 Punkte (2x Start-11)
19. Fabian Rieder: 2.0 Punkte (2x Start-11)
20. Yannik Keitel: 1.0 Punkte (1x Start-11)

=== Bayern ===
 1. Josip Stanisic: 10.0 Punkte (10x Start-11)
 2. Joshua Kimmich: 9.0 Punkte (9x Start-11)
 3. Michael Olise: 9.0 Punkte (9x Start-11)
 4. Konrad Laimer: 8.0 Punkte (8x Start-11)
 5. Serge Gnabry: 7.0 Punkte (7x Start-11)
 6. Kingsley Coman: 7.0 Punkte (7x Start-11)
 7. Harry Kane: 7.0 Punkte (7x Start-11)
 8. Manuel Neuer: 7.0 Punkte (7x Start-11)
 9. Aleksandar Pavlovic: 7.0 Punkte (7x Start-11)
10. Raphael Guerreiro: 6.0 Punkte (6x Start-11)
11. Thomas Muller: 5.0 Punkte (5x Start-11)
12. Eric Dier: 5.0 Punkte (5x Start-11)
13. Jonathan Tah: 4.0 Punkte (4x Start-11)
14. Jonas Urbig: 3.0 Punkte (3x Start-11)
15. Leon Goretzka: 3.0 Punkte (3x Start-11)
16. Leroy Sane: 3.0 Punkte (3x Start-11)
17. Sacha Boey: 3.0 Punkte (3x Start-11)
18. Dayot Upamecano: 3.0 Punkte (3x Start-11)
19. Tom Bischof: 1.0 Punkte (1x Start-11)
20. Jamal Musiala: 1.0 Punkte (1x Start-11)
21. Joao Palhinha: 1.0 Punkte (1x Start-11)
22. Min-jae Kim: 1.0 Punkte (1x Start-11)

=== Heidenheim ===
 1. Jan Schoppner: 10.0 Punkte (10x Start-11)
 2. Marvin Pieringer: 10.0 Punkte (10x Start-11)
 3. Patrick Mainka: 10.0 Punkte (10x Start-11)
 4. Frans Kratzig: 9.0 Punkte (9x Start-11)
 5. Adrian Beck: 9.0 Punkte (9x Start-11)
 6. Omar Traore: 9.0 Punkte (9x Start-11)
 7. Tim Siersleben: 9.0 Punkte (9x Start-11)
 8. Kevin Muller: 9.0 Punkte (9x Start-11)
 9. Marnon Busch: 8.0 Punkte (8x Start-11)
10. Benedikt Gimber: 8.0 Punkte (8x Start-11)
11. Niklas Dorsch: 8.0 Punkte (8x Start-11)
12. Mathias Honsak: 3.0 Punkte (3x Start-11)
13. Leo Scienza: 2.0 Punkte (2x Start-11)
14. Paul Wanner: 2.0 Punkte (2x Start-11)
15. Budu Zivzivadze: 1.0 Punkte (1x Start-11)
16. Sirlord Conteh: 1.0 Punkte (1x Start-11)
17. Luca Kerber: 1.0 Punkte (1x Start-11)
18. Frank Feller: 1.0 Punkte (1x Start-11)
